Name,Small Description,Description,Funding,Year Founded,Headquarters,Country,Website,Target Users
Abridge,Medical conversation documentation,"Abridge provides AI-powered tools to document medical conversations, helping healthcare providers focus on patient care rather than note-taking.",$213M,2018,Pittsburgh,United States,https://abrdge.com,"Healthcare Provider, Clinician, Medical Professional"
Adept,AI model developer,Develops AI models capable of executing complex tasks across different domains by interpreting human instructions.,$415M,2022,San Francisco,United States,https://www.adept.ai,"Software Engineer, Engineer, Product Manager"
Anduril Industries,Defense software and hardware,"Focused on developing autonomous defense systems and surveillance tools, including drones and virtual border monitoring systems.",$2.8B,2017,Costa Mesa,United States,https://www.anduril.com,"Defense Contractor, Security Professional"
Anthropic,AI model developer,"Specialises in building interpretable and reliable AI systems, such as language models, with a focus on AI safety and alignment with human values.",$7.7B,2020,San Francisco,United States,https://www.anthropic.com,"Researcher, AI Engineer"
Anyscale,AI app deployment software,"Provides tools to simplify the deployment, scaling, and management of distributed AI and machine learning applications on any infrastructure.",$259M,2019,San Francisco,United States,https://www.anyscale.com,"AI Engineer, ML Engineer"
AssemblyAI,Speech transcription tooling provider,"Offers APIs for automatic speech-to-text transcription and audio intelligence, enabling developers to build apps with voice recognition capabilities.",$115M,2017,San Francisco,United States,https://www.assemblyai.com,"Software Engineer, Media Professional"
Baseten,AI app deployment software,A platform for deploying machine learning models into production without requiring extensive backend development or infrastructure expertise.,$60M,2019,San Francisco,United States,https://www.baseten.co,"Data Scientist, Engineer"
Cerebras Systems,Computer chip maker,"Builds cutting-edge AI compute hardware, including the Cerebras Wafer-Scale Engine, to accelerate machine learning and deep learning workloads.",$720M,2016,Sunnyvale,United States,https://www.cerebras.net,"AI Researcher, Engineer"
Character.AI,Consumer chatbot app,"Offers personalised conversational AI tools, allowing users to create chatbot 'characters' for entertainment, education, or task automation.",$193M,2021,Menlo Park,United States,https://character.ai,"Consumer, Content Creator"
Cleanlab,Error detection for data,Focuses on improving the quality of training data for machine learning models by identifying and fixing errors in datasets automatically.,$30M,2021,San Francisco,United States,https://www.cleanlab.io,"Data Scientist, ML Engineer"
Codeium,Coding autocompletion app,Provides AI-powered code autocompletion tools that integrate with popular IDEs to speed up development and reduce repetitive coding tasks.,$93M,2021,Mountain View,United States,https://www.codeium.com,Software Engineer
Cohere,AI model developer,"Develops large language models (LLMs) that power natural language processing tasks like text summarisation, classification, and generation for enterprise use.",$445M,2019,Toronto,Canada,https://cohere.ai,"Software Engineer, NLP Researcher"
Cradle,Protein design for drug discovery,"Uses AI to predict and design proteins for pharmaceutical and biotech applications, accelerating drug discovery and development.",$33M,2021,Amsterdam,Netherlands,https://www.cradle.bio,"Biotech Researcher, Scientist"
Cresta,Call center agent assistance,AI-driven platform that enhances productivity and effectiveness of customer support and sales teams through real-time coaching and analytics.,$152M,2017,Palo Alto,United States,https://www.cresta.com,"Customer Support Agent, Salesperson"
Databricks,Data storage and analytics,"Unified data platform that enables organisations to perform analytics, machine learning, and big data processing in one collaborative environment.",$4B,2013,San Francisco,United States,https://databricks.com,"Data Scientist, Engineer"
DeepL,Language translation service,"Offers AI-powered translation tools that produce high-quality translations, widely considered more accurate than competitors like Google Translate.",$100M,2017,Cologne,Germany,https://www.deepl.com,"Translator, Researcher"
ElevenLabs,Voice generation software,Develops lifelike AI text-to-speech solutions that enable content creators and enterprises to create synthetic voices with natural intonation and emotion.,$101M,2022,London,United Kingdom,https://elevenlabs.io,"Content Creator, Voice Designer"
Figure AI,Autonomous humanoid robots,"Focuses on building general-purpose humanoid robots for use in labour-intensive environments, such as manufacturing and logistics.",$754M,2022,Sunnyvale,United States,https://figure.ai,"Manufacturer, Logistician"
Glean,Enterprise search engine,Provides an enterprise search engine that integrates with various tools to help employees find information and documents across platforms.,$360M,2019,Palo Alto,United States,https://www.glean.com,Knowledge Worker
Harvey,AI models for law firms,"Custom-built AI for legal professionals, offering tools for drafting, summarising, and reviewing legal documents with accuracy and efficiency.",$106M,2022,San Francisco,United States,https://www.harvey.ai,Legal Professional
Hebbia,Enterprise search engine,"Combines AI with search to deliver semantic, context-aware insights across enterprise knowledge bases, enabling faster decision-making.",$30M,2020,New York,United States,https://www.hebbia.ai,"Researcher, Knowledge Worker"
Hugging Face,Library for AI models and datasets,"Hosts open-source AI models, datasets, and tools for building NLP, machine learning, and generative AI applications.",$395M,2016,New York,United States,https://huggingface.co,"Data Scientist, Researcher, Software Engineer"
Insitro,Drug discovery and development,Uses AI and machine learning to accelerate the discovery of new drugs by integrating biological and clinical data for predictive modelling.,$643M,2018,San Francisco,United States,https://www.insitro.com,"Biotech Researcher, Scientist"
Kumo.AI,Data analytics software,"Offers AI-powered software for predictive data analytics and decision-making, helping organisations uncover actionable insights from their data.",$37M,2021,Mountain View,United States,https://kumo.ai,"Data Scientist, Analyst"
LangChain,AI app development tools,Provides a framework for developers to build applications powered by large language models (LLMs) with integrated workflows and memory.,$35M,2023,San Francisco,United States,https://langchain.com,"Software Engineer, ML Engineer"
Leonardo.AI,Image generation service,"Offers AI tools for creating images, 3D assets, and generative content for creative professionals in gaming and design industries.",$31M,2022,Sydney,Australia,https://www.leonardo.ai,"Graphic Designer, Game Developer"
MidJourney,Image generation service,"Provides generative AI tools for creating high-quality, artistic images, commonly used in creative industries and marketing.",$0M,2021,San Francisco,United States,https://www.midjourney.com,"Artist, Marketer"
Mistral AI,Open-source AI model research,"Develops open-source generative AI models to democratise access to powerful AI tools, enabling researchers and developers to build on its innovations.",$528M,2023,Paris,France,https://www.mistral.ai,"Researcher, Software Engineer"
Notion,Productivity software,"A collaborative workspace that integrates notes, tasks, and databases, enhanced by AI tools to improve team productivity.",$330M,2013,San Francisco,United States,https://www.notion.so,"Project Manager, Team Leader"
OpenAI,AI model developer,"Develops advanced AI systems like GPT and DALL-E, offering capabilities in natural language processing, image generation, and AI research.",$11.3B,2015,San Francisco,United States,https://www.openai.com,"Researcher, Software Engineer"
Owkin,Drug discovery and development,"Combines AI and medical research to accelerate drug development and precision medicine, focusing on oncology and rare diseases.",$304M,2016,New York,United States,https://www.owkin.com,"Biotech Researcher, Medical Professional"
Perplexity,General purpose search app,"An AI-powered search engine that provides accurate, summarised answers and explanations to user queries.",$102M,2022,San Francisco,United States,https://www.perplexity.ai,"Student, Researcher"
Photoroom,Photo editing app,"Offers AI-based photo editing tools to create professional-grade visuals, including removing backgrounds and enhancing product images.",$64M,2019,Paris,France,https://www.photoroom.com,"E-commerce Seller, Content Creator"
Pika,Video generation service,Provides AI-driven video creation tools for automating video generation with customisable templates and realistic voiceovers.,$55M,2023,Palo Alto,United States,https://www.pika.ai,"Marketer, Educator"
Pinecone,Database software,"Offers vector database solutions for AI applications, enabling efficient similarity searches for embeddings used in machine learning and recommendation systems.",$138M,2019,New York,United States,https://www.pinecone.io,"Data Scientist, ML Engineer"
Replicate,AI app deployment software,"Provides a platform for deploying machine learning models into production, making it simple for developers to integrate AI into apps.",$60M,2019,San Francisco,United States,https://www.replicate.com,"Software Engineer, ML Engineer"
Rosebud AI,Video game design software,"Creates AI tools for generating game assets and characters, simplifying the production of creative content for game developers.",$10M,2019,San Francisco,United States,https://www.rosebud.ai,"Game Developer, Artist"
Runway,Image and video editing software,"Offers AI-powered creative tools for video editing, green screen effects, and content creation, enabling faster workflows for creators.",$237M,2018,New York,United States,https://www.runwayml.com,"Video Editor, Content Creator"
Sana,Enterprise learning and search,Provides AI-powered learning management systems and enterprise search tools to streamline training and information discovery in organisations.,$82M,2016,Stockholm,Sweden,https://www.sana.io,"Corporate Trainer, HR Professional"
Scale AI,Data labeling and software,"Delivers high-quality data annotation services and infrastructure for machine learning models, with applications in autonomous vehicles and AI training.",$600M,2016,San Francisco,United States,https://www.scale.com,"Data Scientist, ML Engineer"
Sierra,Customer service software,Develops AI-powered customer service platforms that provide predictive assistance and improve response times for enterprise clients.,$110M,2023,San Francisco,United States,https://www.sierra.ai,Customer Support Agent
Synthesia,AI avatar and video generator,"Offers tools to create AI-generated video content with customisable avatars, often used for training, marketing, or explainer videos.",$157M,2017,London,United Kingdom,https://www.synthesia.io,"Educator, Marketer"
Together AI,AI model development tools,"Builds tools for collaborative AI model development, enabling organisations to share, train, and deploy models efficiently.",$229M,2022,San Francisco,United States,https://www.together.xyz,"AI Engineer, Researcher"
Tome,Presentation creation software,"Provides AI-assisted tools for creating engaging presentations and storytelling, integrating text, images, and data seamlessly.",$81M,2020,San Francisco,United States,https://www.tome.app,"Educator, Marketer"
Tractian,Industrial machine maintenance,"Offers AI-powered predictive maintenance solutions for industrial machines, reducing downtime and improving operational efficiency.",$65M,2019,Atlanta,United States,https://www.tractian.com,"Industrial Engineer, Maintenance Manager"
Unstructured,AI app development tools,"Provides tools for processing and extracting information from unstructured data, helping businesses derive actionable insights.",$65M,2022,Sacramento,United States,https://www.unstructured.io,"Data Scientist, Researcher"
Vannevar Labs,Defense intelligence software,"Develops software solutions for national security agencies, leveraging AI for threat intelligence and situational awareness.",$87M,2019,Palo Alto,United States,https://www.vannevarlabs.com,"Security Professional, Analyst"
Waabi,Autonomous trucking technology,"Focuses on AI-driven solutions for autonomous trucking, improving safety and efficiency in the logistics industry.",$84M,2021,Toronto,Canada,https://www.waabi.ai,"Logistician, Fleet Manager"
Weaviate,Database software,"An open-source vector database platform for storing, searching, and querying AI-generated embeddings.",$68M,2019,Amsterdam,Netherlands,https://www.weaviate.io,"Data Scientist, ML Engineer"
Writer,Enterprise generative AI software,"Provides generative AI tools for creating and optimising business content, such as marketing materials, policies, and reports.",$126M,2020,San Francisco,United States,https://www.writer.com,"Marketer, Content Creator, Policy Writer"